Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","47uF","TantalC_SizeC_Reflow",27.4650,16.2500,180.0000,bottom
"C2","100nF","SMD-0805",20.3200,34.5440,-90.0000,bottom
"C3","4u7","SMD-0805",5.2400,29.9025,90.0000,bottom
"C4","10uF","SMD-0805",29.0525,13.0750,180.0000,bottom
"C5","1pFNP0 251R15S1R0AV4E","SMD-0805",6.8275,23.8700,180.0000,bottom
"C6","10uF","SMD-0805",19.7180,23.8065,-90.0000,bottom
"C7","10uF","SMD-0805",40.0380,24.8860,90.0000,bottom
"C8","10uF","SMD-0805",33.1800,33.0140,90.0000,bottom
"C9","10uF","SMD-0805",40.1650,16.8850,-90.0000,bottom
"C10","100nF","SMD-0805",10.3200,23.8700,180.0000,bottom
"C11","100nF","SMD-0805",17.6860,23.8065,-90.0000,bottom
"C12","100nF","SMD-0805",37.7520,24.8860,90.0000,bottom
"C13","100nF","SMD-0805",35.4660,33.0140,90.0000,bottom
"C14","100nF","SMD-0805",42.7050,16.8850,-90.0000,bottom
"C15","3n3","SMD-0805",20.2260,27.3625,90.0000,bottom
"C16","100nF","SMD-0805",22.7660,27.4895,-90.0000,bottom
"C17","4u7","SMD-0805",27.3380,28.3150,90.0000,bottom
"C18","2n2","SMD-0805",27.0840,23.8065,90.0000,bottom
"C19","1nF/NP0","SMD-0805",37.7520,28.6960,90.0000,bottom
"C20","100nF","SMD-0805",10.0660,19.5520,-90.0000,bottom
"C21","10uF","SMD-0805",24.3840,34.5440,-90.0000,bottom
"C22","10uF","SMD-0805",78.8670,13.0810,-90.0000,bottom
"C23","10uF","SMD-0805",22.3520,34.5440,-90.0000,bottom
"C24","1uF","SMD-0805",18.0340,34.6075,-90.0000,bottom
"C25","100nF","SMD-0805",63.7540,17.1450,-90.0000,bottom
"C26","100nF","SMD-0805",79.8830,25.6540,0.0000,bottom
"C27","100nF","SMD-0805",81.1530,27.8130,0.0000,bottom
"C28","100nF","SMD-0805",81.1530,29.8450,0.0000,bottom
"C30","15pF","SMD-0805",50.8000,36.9570,0.0000,bottom
"C31","100nF","SMD-0805",72.3900,32.8295,-90.0000,bottom
"C32","100nF","SMD-0805",69.4690,13.1445,-90.0000,bottom
"C33","15pF","SMD-0805",54.4830,36.9570,180.0000,bottom
"C34","100nF","SMD-0805",53.2130,31.8135,90.0000,bottom
"C35","100nF","SMD-0805",63.5000,22.2250,180.0000,bottom
"C36","10uF","SMD-0805",85.2805,17.6530,0.0000,bottom
"C38","10uF","SMD-0805",60.0710,13.3985,90.0000,bottom
"C39","100nF","SMD-0805",64.1350,38.4810,0.0000,bottom
"C40","10uF","SMD-0805",74.1680,29.4640,90.0000,bottom
"C42","10uF","SMD-0805",57.1500,18.8595,90.0000,bottom
"C43","4u7","SMD-0805",81.1530,32.0040,0.0000,bottom
"C44","100nF","SMD-0805",71.8820,29.4640,90.0000,bottom
"C47","100nF","SMD-0805",76.9620,22.4790,-90.0000,bottom
"C48","100nF","SMD-0805",71.8820,13.2080,-90.0000,bottom
"C49","10uF","SMD-0805",62.3570,13.3350,90.0000,bottom
"C50","10uF","SMD-0805",54.9910,18.8595,90.0000,bottom
"C53","100nF","SMD-0805",53.8480,14.6050,-90.0000,bottom
"C54","100nF","SMD-0805",48.8950,18.7960,-90.0000,bottom
"C55","100nF","SMD-0805",72.0090,19.0500,90.0000,bottom
"D1","BZV55C-5,6V","D_MiniMELF",83.1570,12.5730,0.0000,bottom
"D3","BZV55C-5,6V","D_MiniMELF",84.9350,15.1130,0.0000,bottom
"F1","SR010-15 100mA ","SMD-0805",78.8670,16.4465,90.0000,bottom
"F2","SR010-15 100mA ","SMD-0805",85.2805,19.9390,0.0000,bottom
"L1","10uH - LQH32CN100K23L","SMD-1210",76.0730,32.8930,180.0000,bottom
"L2","DFE252012P-4R7M","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",66.9200,16.2560,180.0000,bottom
"L3","DFE252012P-4R7M","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",61.7220,20.0660,180.0000,bottom
"R1","10R","SMD-0805",42.3240,34.5380,90.0000,bottom
"R2","470R","SMD-0805",15.4000,24.8225,-90.0000,bottom
"R3","470R","SMD-0805",35.7200,20.6950,-90.0000,bottom
"R4","470R","SMD-0805",30.8940,33.0140,90.0000,bottom
