Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,sim.device,sim.params,sim.pins,sim.type
44,"I2C Serial EEPROM, 64Kb (8192x8) with Unique Serial Number, SO8",AT24CS64-SSHM,U6,AT24CS64-SSHM,SOIC-8_3.9x4.9mm_P1.27mm,1,http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8870-SEEPROM-AT24CS64-Datasheet.pdf,5c70984712875079b91f8b99,,,,
45,,ATMEGA1284P-AU-atmel-DATALOGGER01A-rescue-CCP2019V01A-rescue,U10,ATMEGA1284P-AU,TQFP-44_10x10mm_P0.8mm,1,http://www.atmel.com/Images/Atmel-8272-8-bit-AVR-microcontroller-ATmega164A_PA-324A_PA-644A_PA-1284_P_datasheet.pdf,5c70984412875079b91f888e,,,,
46,"Full Speed USB to Full Handshake UART, QFN-20",FT231XQ,U9,FT231XQ,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT231X.pdf,605d7fe0128750769e769adb,,,,
47,"2.0V 25μA Micropower Voltage Reference, SOT-23",ISL21070CIH320Z-TK,U16,ISL21080CIH325Z,SOT-23,1,https://cz.mouser.com/datasheet/2/698/REN_isl21080_DST_20040119-1998038.pdf,6555c89a95a79cc5ac409c19,,,,
48,"Electronically Programmable Voltage Reference, 4.0V to 5.5V Single-Supply Operation, SOT23-5",DS4305,U3,ISL21080DIH309ZT inverted mount!,SOT-23-5,1,https://eu.mouser.com/datasheet/2/609/DS4305_DS4305K-3122241.pdf,5c70984712875079b91f8b0b,,,,
49,"Single Rail-to-Rail High Output Current Operational Amplifiers, SOT-23-5",AD8691,U4,MAX9075EUK+,SOT-23-5,1,https://eu.mouser.com/datasheet/2/609/MAX9075_MAX9077-3130929.pdf,6555cb7295a79cc5ac409c68,,,,
50,"300mA Low-dropout Voltage Regulator, Vout 3.3V, Vin up to 5.5V, SOT-23",MIC5504-3.3YM5,U12,MIC5504-3.3YM5-TR,SOT-23-5,1,http://ww1.microchip.com/downloads/en/DeviceDoc/MIC550X.pdf,5c7255e81287500b4e112ea2,,,,
51,Op amp.,AD8692,U1U2,OPA2314,SOIC-8_3.9x4.9mm_P1.27mm,2,https://www.ti.com/lit/ds/symlink/opa2314.pdf,5c70984412875079b91f879b,SPICE,"type=X model=""X 1 2 3 4 5 OPAMP""",,
52,RTC,PCF85263A,U11,PCF85263A,TSSOP-10_3x3mm_P0.5mm,1,,5c70984612875079b91f8a0c,,,,
53,"Digital Humidity and Temperature Sensor, +/-1%RH, +/-0.1degC, I2C, 1.08-3.6V, 16bit, DFN-4",SHT4x,U15,SHT4x,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,1,https://sensirion.com/media/documents/33FD6951/624C4357/Datasheet_SHT4x.pdf,65227831462c6d9e720559a1,,,,
54,,TPS22919DCK,U14,TPS22919DCK,SOT-363_SC-70-6,1,https://www.ti.com/lit/ds/symlink/tps22919.pdf?HQS=dis-mous-null-mousermode-dsf-pf-null-wwe&ts=1695074728777&ref_url=https%253A%252F%252Feu.mouser.com%252F,5dc501ee128750448eca1add,,,,
55,"1.8A Step-Up Converter, 5V Output Voltage, 0.9-5.5V Input Voltage, SOT-23-5",TPS613222ADBV,U8,TPS613222ADBV,SOT-23-5,1,http://www.ti.com/lit/ds/symlink/tps61322.pdf,5c7190ae1287500b4e112e04,,,,
56,,TS5A4594,U5,TS5A4594,SOT-23-5,1,https://www.ti.com/lit/ds/symlink/ts5a4594.pdf,5c70984612875079b91f8a0d,,,,
57,"Very low capacitance ESD protection diode, 2 data-line, SOT-23-6",USBLC6-2SC6,U7,USBLC6-2SC6,SOT-23-6,1,https://www.st.com/resource/en/datasheet/usblc6-2.pdf,5e82e0691287502a334a778c,,,,
58,Two pin crystal,Crystal,Y1,8 MHz,Crystal_HC49-4H_Vertical,1,~,5c70984712875079b91f8b0e,,,,
59,Two pin crystal,Crystal,Y2,ABS07-120-32.768KHZ-T,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,https://cz.mouser.com/datasheet/2/3/ABS07-3080027.pdf,5c70984712875079b91f8b1b,,,,
