Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","KEYS2998","BatteryHolder_Keystone_2998_1x6.8mm",142.7143,-78.9309,0.0000,top
"C1","10uF","C_0603_1608Metric",116.1967,-106.0581,0.0000,bottom
"C2","100nF","C_0603_1608Metric",121.7847,-89.9037,-90.0000,bottom
"C3","1uF","C_0603_1608Metric",104.0123,-94.4944,90.0000,bottom
"C4","10uF","C_0603_1608Metric",116.1967,-104.1785,0.0000,bottom
"C5","1pFNP0 251R15S1R0AV4E","C_0805_2012Metric",105.5998,-100.5269,180.0000,bottom
"C6","10uF","C_0603_1608Metric",113.4535,-101.0797,-90.0000,bottom
"C7","10uF","C_0603_1608Metric",129.7095,-104.5849,180.0000,bottom
"C8","10uF","C_0603_1608Metric",124.2231,-110.0205,180.0000,bottom
"C9","10uF","C_0603_1608Metric",120.0575,-110.2745,0.0000,bottom
"C10","100nF","C_0603_1608Metric",109.0923,-100.5269,180.0000,bottom
"C11","100nF","C_0603_1608Metric",115.2823,-101.0797,-90.0000,bottom
"C12","100nF","C_0603_1608Metric",129.7095,-102.6037,180.0000,bottom
"C13","100nF","C_0603_1608Metric",124.2231,-108.2425,180.0000,bottom
"C14","100nF","C_0603_1608Metric",120.0575,-108.4965,0.0000,bottom
"C15","3n3","C_0603_1608Metric",115.5363,-96.7109,90.0000,bottom
"C16","100nF","C_0603_1608Metric",117.3143,-96.7109,-90.0000,bottom
"C17","1uF","C_0603_1608Metric",121.7339,-96.1013,180.0000,bottom
"C18","2n2","C_0603_1608Metric",122.5467,-98.8575,90.0000,bottom
"C19","1nF/NP0","C_0805_2012Metric",129.9635,-93.0025,90.0000,bottom
"C20","100nF","C_0603_1608Metric",107.9163,-107.4297,-90.0000,bottom
"C21","10uF","C_0603_1608Metric",125.9503,-89.9037,-90.0000,bottom
"C22","10uF","C_0603_1608Metric",149.5723,-101.0289,180.0000,top
"C23","10uF","C_0603_1608Metric",123.8167,-89.9037,-90.0000,bottom
"C24","1uF","C_0603_1608Metric",119.6003,-89.9037,-90.0000,bottom
"C25","100nF","C_0603_1608Metric",149.5723,-98.9969,180.0000,top
"C26","100nF","C_0603_1608Metric",171.1623,-90.1069,0.0000,bottom
"C27","100nF","C_0603_1608Metric",171.1623,-87.8209,0.0000,bottom
"C28","100nF","C_0603_1608Metric",171.1623,-85.7889,0.0000,bottom
"C30","15pF","C_0603_1608Metric",138.6503,-91.8849,90.0000,bottom
"C31","100nF","C_0603_1608Metric",162.0183,-86.5509,90.0000,bottom
"C32","100nF","C_0603_1608Metric",179.2223,-90.5969,180.0000,bottom
"C33","15pF","C_0603_1608Metric",138.6503,-88.5829,-90.0000,bottom
"C34","100nF","C_0603_1608Metric",144.7463,-90.3609,90.0000,bottom
"C35","100nF","C_0603_1608Metric",154.1443,-97.7269,-90.0000,bottom
"C36","100nF","C_0603_1608Metric",157.4463,-101.2829,0.0000,bottom
"C37","1uF","C_0603_1608Metric",115.9223,-87.8969,-90.0000,bottom
"C38","10uF","C_0603_1608Metric",177.0043,-97.4729,-90.0000,bottom
"C39","100nF","C_0603_1608Metric",153.3823,-78.9309,90.0000,bottom
"C40","10uF","C_0603_1608Metric",164.3043,-90.1069,90.0000,bottom
"C41","10uF","C_0603_1608Metric",173.9563,-101.7909,-90.0000,bottom
"C42","10uF","C_0603_1608Metric",173.7023,-84.2519,90.0000,bottom
"C43","4u7","C_0603_1608Metric",146.0163,-97.9809,0.0000,bottom
