Ref,Val,Package,PosX,PosY,Rot,Side
"J7","SM03B-GHS-TB","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",186.6563,-106.8709,-90.0000,bottom
"L1","NL03KT330","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",158.4623,-101.7909,90.0000,bottom
"L2","NL03KT330","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",173.9055,-95.8981,-90.0000,bottom
"L3","DFE252012P-4R7M","L_1008_2520Metric",140.3775,-87.6431,-90.0000,bottom
"L5","NL03KT330","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",128.2109,-86.2461,0.0000,bottom
"M8","BMI-S-204-F","Laird_Technologies_BMI-S-204-F_32.00x32.00mm",117.0443,-98.9969,0.0000,bottom
"Q1","2SK2394-6","SOT-23",106.6717,-86.7033,-90.0000,bottom
"Q2","BC817-25","SOT-23",146.5243,-119.8249,180.0000,bottom
"Q3","BC817-25","SOT-23",156.4303,-119.8249,180.0000,bottom
"Q4","BC817-25","SOT-23",151.6043,-119.8249,180.0000,bottom
"R1","10R","R_0805_2012Metric",126.9155,-109.5379,180.0000,bottom
"R2","470R","R_0805_2012Metric",109.9229,-105.0675,-90.0000,bottom
"R3","470R","R_0805_2012Metric",130.3699,-107.3281,-90.0000,bottom
"R4","470R","R_0805_2012Metric",122.9785,-112.5605,180.0000,bottom
"R5","470R","R_0805_2012Metric",116.0443,-112.1541,180.0000,bottom
"R6","10M","R_0805_2012Metric",105.6557,-102.0957,180.0000,bottom
"R7","10k","R_0805_2012Metric",114.1901,-93.4089,-90.0000,bottom
"R8","1k","R_0805_2012Metric",116.1967,-93.4089,90.0000,bottom
"R9","4k7","R_0805_2012Metric",114.1901,-96.8887,90.0000,bottom
"R10","1k","R_0805_2012Metric",118.4573,-100.5717,-90.0000,bottom
"R11","4k7","R_0805_2012Metric",120.4385,-100.5463,90.0000,bottom
"R12","10k","R_0805_2012Metric",122.0641,-105.0675,90.0000,bottom
"R13","2k2","R_0805_2012Metric",125.3153,-101.8671,180.0000,bottom
"R14","4k7","R_0805_2012Metric",104.9953,-90.6149,180.0000,bottom
"R15","4k7","R_0805_2012Metric",125.5185,-85.7381,90.0000,bottom
"R16","4k7","R_0805_2012Metric",115.0283,-90.1323,0.0000,bottom
"R17","100R","R_0805_2012Metric",150.3343,-92.2405,0.0000,top
"R18","100R","R_0805_2012Metric",150.3343,-94.8313,0.0000,top
"R19","4k7","R_0805_2012Metric",122.8007,-86.1699,0.0000,bottom
"R20","10k","R_0805_2012Metric",165.2187,-92.4945,90.0000,bottom
"R21","10k","R_0805_2012Metric",167.2507,-92.4945,90.0000,bottom
"R22","4k7","R_0805_2012Metric",118.9399,-88.2019,0.0000,bottom
"R23","10k","R_0805_2012Metric",168.7263,-102.9329,180.0000,bottom
"R24","100R","R_0805_2012Metric",150.3343,-102.2481,0.0000,top
"R25","100R","R_0805_2012Metric",150.3343,-107.1757,0.0000,top
"R26","4k7","R_0805_2012Metric",170.3495,-113.6781,90.0000,bottom
"R27","10k","R_0805_2012Metric",169.0795,-110.9349,180.0000,bottom
"R28","180R","R_0805_2012Metric",168.1143,-114.7449,90.0000,bottom
"R29","180R","R_0805_2012Metric",163.0343,-114.7449,90.0000,bottom
"R30","5k1","R_0805_2012Metric",181.6271,-111.3413,180.0000,bottom
"R31","5k1","R_0805_2012Metric",181.6271,-108.3441,180.0000,bottom
"R32","100R","R_0805_2012Metric",181.6271,-77.2545,0.0000,bottom
"R33","100R","R_0805_2012Metric",180.4079,-96.6601,0.0000,bottom
"R34","100R","R_0805_2012Metric",180.4079,-98.7429,0.0000,bottom
"R35","10k","R_0805_2012Metric",148.3023,-115.2529,-90.0000,bottom
"R36","82R","R_0805_2012Metric",145.7623,-116.2689,90.0000,bottom
"R37","10k","R_0805_2012Metric",158.2083,-115.2529,-90.0000,bottom
"R38","180R","R_0805_2012Metric",168.0635,-78.1689,-90.0000,bottom
"R39","100R","R_0805_2012Metric",114.5203,-110.1221,0.0000,bottom
"R40","470R","R_0805_2012Metric",119.3463,-86.1699,0.0000,bottom
"R41","100R","R_0805_2012Metric",181.6271,-79.7437,0.0000,bottom
"R42","10k","R_0805_2012Metric",153.3823,-115.2529,-90.0000,bottom
"R43","18R","R_0805_2012Metric",155.9223,-116.2689,90.0000,bottom
"R44","51R","R_0805_2012Metric",150.8423,-116.2689,90.0000,bottom
"R45","100R","R_0805_2012Metric",181.6271,-82.3853,0.0000,bottom
"R46","100R","R_0805_2012Metric",181.6271,-84.9761,0.0000,bottom
"R47","100R","R_0805_2012Metric",181.6271,-87.0589,0.0000,bottom
"R48","100R","R_0805_2012Metric",176.7503,-103.5181,90.0000,bottom
"R49","100R","R_0805_2012Metric",152.3155,-105.1945,180.0000,bottom
"R50","10R","R_0805_2012Metric",128.4649,-93.5378,-90.0000,bottom
"U1","OPA2314","SOIC-8_3.9x4.9mm_P1.27mm",109.2879,-95.9489,0.0000,bottom
"U2","OPA2314","SOIC-8_3.9x4.9mm_P1.27mm",127.5251,-98.0825,0.0000,bottom
"U3","DS4305","SOT-23-5",113.1487,-105.0675,0.0000,bottom
"U4","MAX9075EUK+","SOT-23-5",125.1375,-105.0929,-90.0000,bottom
"U5","TS5A4594","SOT-23-5",119.0669,-104.9405,-90.0000,bottom
"U6","AT24CS64-SSHM","SOIC-8_3.9x4.9mm_P1.27mm",141.9015,-105.4993,180.0000,bottom
"U7","USBLC6-2SC6","SOT-23-6",177.5702,-112.4589,-45.0000,bottom
"U8","TPS613222ADBV","SOT-23-5",137.0755,-87.6431,90.0000,bottom
"U9","FT231XQ","QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm",174.0833,-108.6489,-135.0000,bottom
"U10","ATMEGA1284P-AU","TQFP-44_10x10mm_P0.8mm",156.9891,-89.9037,-90.0000,bottom
"U11","PCF85263A","TSSOP-10_3x3mm_P0.5mm",139.3043,-114.9089,-90.0000,bottom
"U12","MIC5504-3.3YM5-TR","SOT-23-5",168.3683,-100.0637,180.0000,bottom
"U14","TPS22919DCK","SOT-363_SC-70-6",148.3277,-105.5755,180.0000,bottom
"U15","SHT4x","Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad",106.1637,-110.7317,0.0000,bottom
"U16","ISL21080CIH325Z","SOT-23",150.9439,-99.8605,-90.0000,bottom
"Y2","ABS07-120-32.768KHZ-T","Crystal_SMD_3215-2Pin_3.2x1.5mm",139.3043,-110.3369,0.0000,bottom
